,Pais,Estado,Sexo,Estado Civil,Num Hijos,Religión,Fecha Pre-registro,Nacionalidad,Licenciatura: Institución,Licenciatura: Programa,Licenciatura: Promedio,Licenciatura: Tipo Titulación,Licenciatura: Fecha Titulación,aspirantePosgradoId,Edad,Aceptado
0,MÉXICO,SONORA,MUJER,CASADO(A),0,NINGUNA RELIGIÓN,2020-05-03 00:00:00,VERDADERO,UNIVERSIDAD ESTATAL DE SONORA,LIC. EN ADMINISTRACION DE EMPRESAS TURÍSTICAS,97,EXAMEN NACIONAL DE CALIDAD (CENEVAL),13/07/2012,186566,33,VERDADERO
1,MÉXICO,SONORA,MUJER,CASADO(A),0,NINGUNA RELIGIÓN,2020-05-03 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,LIC. EN FÍSICA,93,POR PROMEDIO,01/07/2020,186566,33,VERDADERO
2,MÉXICO,CHIHUAHUA,HOMBRE,DIVORCIADO(A),1,NINGUNA RELIGIÓN,2020-03-14 00:00:00,FALSO,INSTITUTO TECNOLÓGICO DE CHIHUAHUA,INGENIERÍA ELECTRÓNICA,91,POR PROMEDIO,10/12/1993,186616,53,FALSO
3,MÉXICO,SONORA,HOMBRE,CASADO(A),1,CATÓLICA,2020-03-19 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,INGENIERÍA INDUSTRIAL Y DE SISTEMAS ,"80,7",EXAMEN NACIONAL DE CALIDAD (CENEVAL),,186645,38,VERDADERO
4,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,PENTECOSTALES/EVANGÉLICAS/CRISTIANAS,2020-03-20 00:00:00,VERDADERO,UNIVERSIDAD DEL VALLE DE MÉXICO,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,"90,3",EXAMEN NACIONAL DE CALIDAD (CENEVAL),16/02/2018,184078,32,VERDADERO
5,MÉXICO,SONORA,MUJER,SOLTERO(A),0,OTROS MOVIMIENTOS RELIGIOSOS,2020-06-04 00:00:00,VERDADERO,INSTITUTO TECNOLOGICO DE NOGALES,INGENIERIA EN SISTEMAS COMPUTACIONALES,"97,8",TRABAJO TERMINAL,28/02/2020,186782,26,VERDADERO
6,MÉXICO,BAJA CALIFORNIA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2020-04-13 00:00:00,FALSO,UNIVERSIDAD DE SONORA,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,"78,79",TESIS PROFESIONAL,01/05/2019,184153,27,FALSO
7,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2020-06-05 00:00:00,FALSO,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,LICENCIATURA EN CONTADURIA PUBLICA Y FINANZAS,83,NINGUNO,27/05/2011,186983,35,FALSO
8,MÉXICO,SONORA,HOMBRE,CASADO(A),1,NINGUNA RELIGIÓN,2020-07-05 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,INGENIERÍA EN SISTEMAS DE INFORMACIÓN,93,EXAMEN NACIONAL DE CALIDAD (CENEVAL),18/12/2017,186986,32,VERDADERO
9,MÉXICO,SONORA,MUJER,SOLTERO(A),0,NO DESEO DECLARARLA,2020-07-05 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN MERCADOTECNIA,"90,64",POR PROMEDIO,20/11/2010,186992,34,FALSO
10,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2020-10-06 00:00:00,VERDADERO,INSTITUTO TECNOLÓGICO DE ESTUDIOS SUPERIORES DE MONTERREY,INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES,92,POR PROMEDIO,01/12/2011,187001,34,VERDADERO
11,MÉXICO,SONORA,HOMBRE,CASADO(A),1,NO DESEO DECLARARLA,2020-11-05 00:00:00,FALSO,UNIVERSIDAD DE SONORA,FÍSICA,88,TESIS PROFESIONAL,18/05/2015,187009,35,FALSO
12,MÉXICO,SONORA,HOMBRE,CASADO(A),0,NINGUNA RELIGIÓN,2020-11-05 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,75,EXAMEN NACIONAL DE CALIDAD (CENEVAL),17/05/2005,187011,41,VERDADERO
13,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2020-12-05 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIADO EN FINANZAS,93,POR PROMEDIO,01/06/2008,187015,38,FALSO
14,MÉXICO,SONORA,HOMBRE,CASADO(A),2,CATÓLICA,,FALSO,UNIVERSIDAD KINO,ING. EN SISTEMAS COMPUTACIONALES,87,POR DIPLOMADO,13/07/2015,187110,42,FALSO
15,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2020-05-27 00:00:00,FALSO,UNIVERSIDAD DE SONORA,CIENCIAS DE LA COMPUTACION,82,EXAMEN NACIONAL DE CALIDAD (CENEVAL),,187108,37,FALSO
16,MÉXICO,CIUDAD DE MÉXICO,HOMBRE,CASADO(A),3,NO DESEO DECLARARLA,2020-05-29 00:00:00,VERDADERO,INSTITUTO TECNOLOGICO DE HERMOSILLO,LICENCIATURA EN INFORMATICA,"89,4",TRABAJO PROFESIONAL,,187152,51,VERDADERO
17,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2020-05-30 00:00:00,FALSO,UNIVERSIDAD DEL VALLE DE MÉXICO,ADMINISTRACIÓN DE EMPRESAS,75,NINGUNO,15/05/2015,187184,33,FALSO
18,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2020-01-06 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,LICENCIATURA EN MATEMATICAS,83,NINGUNO,,187168,28,VERDADERO
19,MÉXICO,SONORA,MUJER,SOLTERO(A),0,NINGUNA RELIGIÓN,2020-02-06 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,LICENCIATURA EN MATEMÁTICAS,80,TESIS PROFESIONAL,03/12/2020,187189,29,VERDADERO
20,MÉXICO,SONORA,HOMBRE,CASADO(A),1,NO DESEO DECLARARLA,2020-09-06 00:00:00,VERDADERO,ITESM,IQA,81,EXAMEN NACIONAL DE CALIDAD (CENEVAL),04/01/2010,187204,40,VERDADERO
21,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2020-10-06 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN BIOLOGÍA,84,EXAMEN NACIONAL DE CALIDAD (CENEVAL),06/10/2016,184713,32,FALSO
22,MÉXICO,SONORA,HOMBRE,CASADO(A),1,NINGUNA RELIGIÓN,2020-06-15 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,ECONOMÍA,90,TESIS PROFESIONAL,12/05/2006,187214,42,VERDADERO
